RATE,GRADE,RANK,NAME,COLLEGE,AGE,HT,WT,GMS,PYD,TD,INT,CMP%,Y/A,RUSH,2022,PYD,TD,INT,CMP%,2021,PYD,TD,INT,CMP%,ACCOLADES,40YD,10YD,VERT,BRD,CONE,20SH,HAND,ARM,CMB,FORMER,BOWL,LEVEL,SOURCE,NOTE
1,9.88,1,Caleb Williams,USC,3rd,"6'1""",214,12,3633,30,5,68.6%,9.4,142,14,4537,42,5,66.6%,11,1912,21,4,64.5%,PAC12 HM,,,,,,,9.75,32.00,XXX,2021 OU,,FBS,,
1,9.72,2,Drake Maye,North Carolina,3rd,"6'5""",223,12,3608,29,9,63.3%,8.5,449,14,4321,38,7,66.2%,2,89,1,0,70.0%,ACC 2ND TEAM,,,,,,,9.12,32.25,XXX,,,FBS,,
1,9.55,3,Jayden Daniels,LSU,5th,"6'4""",210,12,3812,40,4,72.2%,11.7,1134,14,2913,17,3,68.6%,13,2381,10,10,65.4%,"AMER 1ST TEAM; SEC 1ST TEAM, OPoY",,,,,,,9.38,32.50,XXX,2021 ASU,,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000, 2022 EW1000",
1,9.08,4,JJ McCarthy,Michigan,3rd,"6'3""",219,15,2991,22,4,72.3%,9.0,202,14,2719,22,5,64.6%,11,516,5,2,57.6%,BIG10 1ST TEAM,,,,,6.82,4.23,9.00,31.62,XXX,,,FBS,,
2,8.73,5,Bo Nix,Oregon,5th,"6'2""",214,14,4508,45,3,77.4%,9.6,234,13,3594,29,7,71.9%,10,2294,11,3,61.0%,"AMER HM; PAC12 1ST TEAM, OPoY",,,,,,,10.12,30.88,XXX,2021 AUB,SNR,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000, 2022 SBW, 2022 EW1000",
2,8.63,6,Michael Penix Jr.,Washington,6th,"6'2""",216,15,4903,36,11,65.4%,8.8,8,13,4641,31,8,65.3%,5,939,4,7,53.7%,AMER 2ND TEAM; PAC12 2ND TEAM,4.58,1.58,,36.5,125.0,,10.50,33.62,XXX,2021 IU,SNR,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000, 2022 SBW, 2022 EW1000",
3,8.20,7,Spencer Rattler,South Carolina,5th,"6'0""",211,12,3186,19,8,68.9%,8.0,104,13,3012,18,12,66.2%,9,1483,11,5,74.9%,,4.95,1.63,32.0,108.0,7.21,4.37,9.88,31.00,XXX,2021 OU,SNR,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000",
4,7.58,8,Michael Pratt,Tulane,4th,"6'3""",217,11,2406,22,5,65.4%,8.5,286,13,3009,27,5,63.6%,12,2390,21,8,57.8%,"AAC 1ST TEAM, OPoY",,,36.0,114.0,7.20,4.23,9.25,30.75,XXX,,SNR,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000",
6,6.83,9,Jordan Travis,Florida State,6th,"6'1""",200,11,2756,20,2,63.9%,8.5,176,13,3214,24,5,64.0%,10,1539,15,6,62.9%,"ACC 1ST TEAM, PoY, OPoY",,,,,,,9.00,31.38,XXX,2018 LOU,EW,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000, 2022 SBW, 2022 EW1000",
7,6.42,10,Joe Milton III,Tennessee,6th,"6'5""",235,12,2813,20,5,64.7%,7.9,299,9,971,10,0,64.6%,8,375,2,0,51.6%,,4.62,1.65,35.0,121.0,,,10.25,33.38,XXX,2020 MICH,SNR,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000",
7,6.30,11,Sam Hartman,Notre Dame,6th,"6'1""",211,12,2689,24,8,63.5%,8.9,123,12,3701,38,12,63.1%,14,4228,39,14,58.9%,,4.80,1.63,28.5,109.0,7.19,4.34,9.75,31.38,XXX,2022 WF,SNR,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000, 2022 SBW, 2022 EW1000",
PFA,5.87,12,Devin Leary,Kentucky,6th,"6'1""",215,13,2746,25,12,56.3%,7.4,0,6,1265,11,4,61.1%,12,3433,35,5,65.7%,,,,,,,,9.50,30.88,XXX,2022 NCST,EW,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000, 2022 SBW, 2022 EW1000",
PFA,5.78,13,Taulia Tagovailoa,Maryland,5th,"5'11""",185,12,3377,25,11,66.4%,7.7,18,12,3008,18,8,67.0%,13,3860,26,11,69.2%,BIG10 2ND TEAM,,,,,,,9.50,30.75,,2019 ALA,EW,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000",
PFA,5.64,14,Jack Plummer,Louisville,6th,"6'5""",215,14,3204,21,12,64.8%,8.1,34,12,3095,21,9,62.5%,7,864,7,0,68.5%,ACC 3RD TEAM,4.75,1.68,33.0,116.0,7.06,4.40,9.50,32.62,,"2022 CAL, 2021 PUR","EW, HULA",FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000, 2022 SBW",
Yes,5.40,15,Carter Bradley,South Alabama,6th,"6'3""",213,11,2660,19,7,67.8%,8.2,0,13,3335,28,12,64.7%,8,972,4,1,59.2%,SUN HM,4.82,1.60,33.5,114.0,,,9.38,32.12,,2021 TOL,"SNR, HULA",FBS,2023 Senior Bowl Watchlist,
Yes,5.34,16,Kedon Slovis,BYU,5th,"6'3""",223,8,1716,12,6,57.5%,6.5,0,11,2397,10,9,58.4%,9,2153,11,8,65.0%,,4.55,1.58,30.0,118.0,,,9.88,31.12,XXX,"2022 PITT, 2021 USC",EW,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000, 2022 SBW, 2022 EW1000",
Yes,5.32,17,Garrett Shrader,Syracuse,5th,"6'5""",231,11,1686,13,6,62.6%,7.9,469,12,2640,17,7,64.7%,12,1445,9,4,52.6%,,,,,,,,9.62,32.75,,2020 MSST,,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000",
Yes,5.11,18,Austin Reed,Western Kentucky,6th,"6'2""",220,12,3340,31,11,61.5%,7.1,100,14,4746,40,11,64.5%,11,3418,38,8,54.8%,CUSA HM,4.82,1.67,,,,,9.88,30.12,XXX,"2021 D2, 2018 SIU",EW,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000",
Probably,4.95,19,John Rhys Plumlee,UCF,5th,"6'0""",203,10,2271,15,8,62.9%,8.9,505,13,2586,14,8,63.0%,10,6,0,0,100.0%,BIG12 HM,4.51,1.63,36.5,124.0,6.96,4.27,8.88,30.38,,2021 MISS,"EW, HULA",FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000, 2022 SBW, 2022 EW1000",Played WR in 2020-2021
Probably,4.61,20,Tanner Mordecai,Wisconsin,6th,"6'2""",210,10,2066,9,4,65.0%,6.6,302,12,3524,33,10,64.9%,12,3628,39,12,67.8%,,4.53,1.63,36.5,119.0,7.00,4.23,8.88,31.62,,"2022 SMU, 2020 OU",,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000, 2022 EW1000",
Probably,4.54,21,Michael Hiers,Samford,6th,"6'1""",205,11,3056,18,8,71.3%,6.9,0,13,3544,36,4,76.6%,0,-,-,-,-,SOC 2ND TEAM,4.89,1.68,31.5,110.0,7.50,4.47,9.75,31.38,,"2021 JUCO, 2019 MURR",TROP,FCS,"2023 Senior Bowl Watchlist, 2023 East-West 1000",
Probably,4.51,22,Jason Bean,Kansas,6th,"6'2""",196,12,2130,18,7,62.3%,10.7,280,12,1280,14,4,64.0%,11,1252,6,6,56.0%,BIG12 HM,4.55,1.62,30.5,118.0,7.07,4.45,9.00,31.50,,2020 NT,HULA,FBS,,
Maybe,4.47,23,Ben Bryant,Northwestern,6th,"6'4""",218,9,1807,13,6,62.5%,7.8,0,11,2732,21,7,61.2%,13,3121,14,7,68.4%,,5.01,1.69,27.0,109.0,7.30,4.46,10.00,32.25,,"2022 CIN, 2021 EMU, 2020 CIN",HULA,FBS,"2023 Senior Bowl Watchlist, 2023 East-West 1000, 2022 SBW, 2022 EW1000",
Maybe,4.40,24,Chevan Cordeiro,San Jose State,6th,"6'1""",200,13,2773,20,4,61.6%,7.7,272,12,3251,23,6,60.7%,11,2793,17,11,55.2%,MWC 1ST TEAM,4.54,1.60,31.5,119.0,7.00,4.28,9.50,30.25,,2021 HAW,,FBS,,
Maybe,4.36,25,Parker McKinney,Eastern Kentucky,6th,"6'2""",214,11,3033,20,12,63.2%,7.2,225,12,3956,33,8,68.6%,11,2429,18,9,60.7%,UAC 1ST TEAM,4.98,1.75,35.5,117.0,,,8.88,30.62,,,,FCS,"2023 Senior Bowl Watchlist, 2023 East-West 1000",
